timestamp,compass,pressure,temperatureAmbient,temperatureCPU,altitude
3919,359.062500,1014.417969,21.680000,21.520805,150.018829
4443,359.062500,1014.362671,21.680000,23.393347,150.285110
4961,359.062500,1014.358643,21.680000,22.925203,150.510605
5476,359.062500,1014.375000,21.690001,23.393347,150.374893
6008,359.062500,1014.393311,21.700001,23.393347,150.222870
6524,359.062500,1014.354248,21.700001,23.393347,150.546814
7054,359.062500,1014.410461,21.709999,23.393347,150.081055
7570,359.062500,1014.364441,21.709999,23.393347,150.462128
8130,359.062500,1014.366028,21.719999,23.393347,150.449387
8651,359.062500,1014.385254,21.719999,23.393347,150.349899
9175,359.062500,1014.381226,21.740000,23.393347,150.323380
9698,359.062500,1014.349304,21.730000,23.393347,150.587631
10220,359.062500,1014.380310,21.740000,23.393347,150.331024
10733,359.062500,1014.373535,21.740000,23.393347,150.387146
11248,359.062500,1014.377991,21.740000,23.393347,150.349899
11762,359.062500,1014.369202,21.740000,23.393347,150.422852
12280,359.062500,1014.374451,21.740000,23.393347,150.580490
12795,359.062500,1014.366394,21.750000,23.393347,150.340210
13315,359.062500,1014.390442,21.750000,23.861492,150.246857
13830,359.062500,1014.372192,21.760000,23.393347,150.398361
14351,359.062500,1014.356934,21.750000,23.393347,150.524368
14865,359.062500,1014.375854,21.750000,23.861492,150.367752
15385,359.062500,1014.372192,21.760000,23.393347,150.398361
15899,359.062500,1014.380005,21.760000,23.393347,150.333572
16421,359.062500,1014.360840,21.760000,23.393347,150.492233
16942,359.062500,1014.385925,21.760000,23.393347,150.284088
17457,359.062500,1014.364380,21.760000,23.393347,150.462646
17971,359.062500,1014.352966,21.760000,23.861492,150.557526
18491,359.062500,1014.395447,21.770000,23.861492,150.205536
19009,359.062500,1014.357178,21.770000,23.861492,150.522339
19526,359.062500,1014.365845,21.770000,23.861492,150.450912
20040,359.062500,1014.372009,21.770000,23.393347,150.399902
20561,359.062500,1014.372192,21.770000,23.393347,150.398361
