timestamp,compass,pressure,temperatureAmbient,temperatureCPU,altitude
4022,1.500000,1014.726746,21.600000,22.457060,147.459824
4055,1.500000,1014.726746,21.600000,23.393347,147.459824
4348,1.500000,1014.744873,21.600000,23.393347,147.309875
4538,1.500000,1014.714661,21.600000,23.393347,147.560287
4725,1.500000,1014.724854,21.600000,23.393347,147.475632
4912,1.500000,1014.731812,21.600000,22.925203,147.417999
5099,1.500000,1014.724060,21.600000,23.393347,147.482254
5284,1.500000,1014.720764,21.590000,23.393347,147.403214
5480,1.500000,1014.722351,21.600000,23.393347,147.496536
5661,1.500000,1014.711975,21.600000,23.393347,147.582214
5843,1.500000,1014.722168,21.600000,23.393347,147.498062
6031,1.500000,1014.743896,21.600000,23.393347,147.318039
6221,1.500000,1014.743896,21.600000,23.393347,147.318039
6402,1.500000,1014.720642,21.600000,23.393347,147.510300
6593,1.500000,1014.719666,21.600000,23.393347,147.518463
6777,1.500000,1014.732605,21.600000,23.393347,147.411362
6969,1.500000,1014.717957,21.600000,22.925203,147.532745
7149,1.500000,1014.744690,21.600000,23.861492,147.311401
7336,1.500000,1014.717163,21.610001,23.393347,147.539383
7522,1.500000,1014.731018,21.610001,23.861492,147.424622
7709,1.500000,1014.725647,21.600000,23.861492,147.468994
7898,1.500000,1014.746582,21.600000,23.861492,147.295593
8082,1.500000,1014.744873,21.610001,23.861492,147.309875
8269,1.500000,1014.749146,21.600000,23.393347,147.274170
8456,1.500000,1014.736084,21.600000,23.861492,147.382294
8642,1.500000,1014.732605,21.600000,23.393347,147.411362
8833,1.500000,1014.749939,21.600000,23.393347,147.267548
9018,1.500000,1014.737976,21.600000,23.861492,147.366989
9205,1.500000,1014.741272,21.600000,22.925203,147.339462
9393,1.500000,1014.728271,21.600000,23.393347,147.447067
9578,1.500000,1014.737061,21.600000,23.861492,147.374649
9604,1.500000,1014.724976,21.610001,23.393347,147.474609
9886,1.500000,1014.732605,21.600000,23.861492,147.411362
10075,1.500000,1014.712830,21.600000,23.861492,147.575073
10261,1.500000,1014.719666,21.600000,23.861492,147.518463
10445,1.500000,1014.721436,21.600000,23.861492,147.503677
10632,1.500000,1014.716248,21.600000,23.861492,147.547028
10818,1.937500,1014.721436,21.600000,24.329636,147.503677
11004,4.062500,1014.732605,21.600000,23.393347,147.411362
11193,4.062500,1014.735474,21.600000,23.861492,147.318039
11378,4.062500,1014.737061,21.600000,23.861492,147.374649
11566,4.062500,1014.747437,21.600000,23.861492,147.288452
11752,4.062500,1014.741394,21.600000,23.861492,147.338440
11939,4.062500,1014.699829,21.600000,23.861492,147.682693
12125,4.062500,1014.717163,21.600000,23.861492,147.539383
12309,4.062500,1014.715454,21.600000,24.329636,147.553665
12495,5.812500,1014.736084,21.600000,23.861492,147.382294
12678,6.000000,1014.733765,21.610001,24.329636,147.401672
12863,6.000000,1014.722351,21.600000,22.457060,147.496536
13050,6.000000,1014.737061,21.600000,23.393347,147.374649
13237,6.000000,1014.733765,21.610001,24.329636,147.401672
13422,6.000000,1014.730225,21.610001,23.393347,147.431259
13612,6.000000,1014.722168,21.600000,23.861492,147.498062
13799,6.000000,1014.727600,21.600000,23.393347,147.452682
13984,6.000000,1014.752563,21.600000,23.393347,147.246124
14172,6.000000,1014.737793,21.600000,23.861492,147.368530
14235,6.000000,1014.737793,21.600000,23.861492,147.368530
14545,6.000000,1014.722168,21.600000,23.393347,147.498062
14731,6.000000,1014.722168,21.600000,23.861492,147.498062
14917,6.000000,1014.727417,21.600000,23.393347,147.454208
15102,6.000000,1014.730835,21.600000,23.393347,147.426163
15311,6.000000,1014.739685,21.600000,23.393347,147.352722
15362,6.000000,1014.722168,21.600000,23.393347,147.498062
15674,6.000000,1014.736084,21.600000,23.393347,147.382294
15859,6.000000,1014.747559,21.600000,23.393347,147.287430
16053,6.000000,1014.760315,21.600000,23.861492,147.181870
16108,6.000000,1014.746399,21.600000,23.861492,147.297119
16425,6.000000,1014.752563,21.600000,23.861492,147.246124
16606,6.000000,1014.714539,21.600000,23.393347,147.561310
16780,6.000000,1014.741394,21.600000,23.861492,147.338440
16967,6.000000,1014.740479,21.600000,22.925203,147.346085
17154,6.000000,1014.729126,21.600000,23.393347,147.440430
17340,6.000000,1014.727600,21.600000,23.861492,147.452682
17524,6.000000,1014.743896,21.600000,23.393347,147.318039
17712,6.000000,1014.719666,21.600000,23.861492,147.518463
17899,6.375000,1014.697205,21.600000,23.393347,147.704620
18083,7.250000,1014.731812,21.600000,23.393347,147.417999
18272,7.250000,1014.741394,21.600000,23.861492,147.338440
18483,7.250000,1014.736267,21.600000,23.861492,147.380768
18532,7.250000,1014.748291,21.600000,23.393347,147.281311
18849,7.250000,1014.713745,21.600000,23.861492,147.567429
19032,7.250000,1014.735474,21.600000,23.861492,147.387390
19229,7.250000,1014.733887,21.590000,23.861492,147.400650
19279,7.250000,1014.705017,21.600000,23.861492,147.639847
19597,7.250000,1014.730103,21.600000,23.861492,147.432281
19651,7.250000,1014.731079,21.600000,23.861492,147.424118
19948,7.250000,1014.740479,21.600000,23.393347,147.346085
20137,7.250000,1014.713623,21.600000,23.861492,147.568451
20308,7.250000,1014.729126,21.600000,23.861492,147.440430
20493,7.250000,1014.731812,21.600000,23.861492,147.417999
20680,7.250000,1014.723145,21.600000,23.861492,147.489914
20868,7.250000,1014.706177,21.590000,23.393347,147.524582
21054,7.250000,1014.731079,21.600000,23.393347,147.424118
21240,7.250000,1014.703308,21.600000,23.861492,147.654129
21426,7.250000,1014.723267,21.600000,23.861492,147.488892
