timestamp,compass,pressure,temperatureAmbient,temperatureCPU,altitude
3728,7.562500,1013.715881,19.770000,19.648264,155.838989
4253,8.125000,1013.704834,19.760000,19.648264,155.930862
4769,9.250000,1013.693604,19.770000,19.648264,156.023758
5297,8.687500,1013.703064,19.780001,20.116373,155.945663
5810,8.687500,1013.717651,19.780001,20.116373,155.824707
6342,8.687500,1013.680603,19.780001,20.116373,156.131973
6870,8.125000,1013.717651,19.780001,20.116373,155.824707
7403,8.125000,1013.695923,19.780001,20.116373,156.004883
7939,7.562500,1013.715637,19.790001,20.116373,155.841034
8467,15.750000,1013.690796,19.780001,20.116373,156.047241
8993,15.812500,1013.698425,19.780001,20.116373,155.983948
9519,26.562500,1013.682007,19.790001,20.116373,156.120239
10041,19.187500,1013.709839,19.780001,20.116373,155.889526
10567,19.250000,1013.709717,19.799999,20.116373,155.890549
11088,19.625000,1013.683838,19.799999,20.116373,156.104919
11615,15.937500,1013.706238,19.799999,20.116373,155.919128
12138,12.812500,1013.725952,19.799999,20.116373,155.755798
12653,12.812500,1013.695923,19.799999,20.116373,156.186081
13167,12.812500,1013.722473,19.799999,20.116373,155.784378
13686,12.875000,1013.730164,19.809999,20.116373,155.720581
14200,12.375000,1013.700806,19.809999,20.116373,155.964050
14722,12.375000,1013.701904,19.799999,20.116373,155.955368
15236,11.437500,1013.704224,19.809999,20.116373,155.935974
15758,11.937500,1013.734192,19.809999,20.116373,155.687393
16271,11.937500,1013.709534,19.820000,20.116373,155.892075
16802,11.500000,1013.736145,19.820000,20.116373,155.671066
17323,11.437500,1013.722473,19.799999,20.116373,155.784378
17844,12.000000,1013.725769,19.820000,20.116373,155.757324
18369,12.000000,1013.746582,19.820000,20.116373,155.584808
18890,12.000000,1013.728455,19.820000,20.116373,155.734863
19416,12.000000,1013.711243,19.820000,20.116373,155.877777
19937,12.000000,1013.704285,19.820000,20.116373,155.935455
20462,12.000000,1013.710327,19.820000,20.116373,155.885437
20982,12.000000,1013.725708,19.820000,20.116373,155.757843
21498,12.000000,1013.728149,19.830000,20.116373,155.737427
22013,12.000000,1013.716248,19.820000,20.116373,155.836441
22528,12.000000,1013.698914,19.830000,20.116373,155.979874
23047,12.000000,1013.726379,19.840000,20.116373,155.752228
23561,12.000000,1013.704041,19.840000,20.116373,155.937500
24082,12.000000,1013.698730,19.830000,20.116373,155.981400
24595,12.000000,1013.698730,19.830000,20.116373,155.981400
25117,12.000000,1013.710876,19.840000,20.116373,155.880844
25650,12.000000,1013.691895,19.840000,20.584518,156.038055
26206,14.000000,1013.720154,19.850000,20.584518,155.803772
26749,12.812500,1013.719543,19.840000,20.584518,155.808884
27307,11.562500,1013.690918,19.840000,20.116373,156.046219
27866,11.437500,1013.714050,19.840000,20.584518,155.854309
28423,11.437500,1013.694214,19.850000,20.116373,156.018661
28979,9.312500,1013.720154,19.850000,20.116373,155.803772
29539,10.375000,1013.705383,19.850000,20.116373,155.926270
30099,11.000000,1013.729614,19.860001,20.584518,155.725174
30659,10.000000,1013.694275,19.860001,20.584518,156.018158
31216,9.812500,1013.734680,19.870001,20.584518,155.683319
31775,9.812500,1013.738281,19.860001,20.116373,155.653717
32339,11.000000,1013.693176,19.870001,20.116373,156.027344
32899,11.000000,1013.723267,19.879999,20.584518,155.777740
33442,10.812500,1013.711121,19.879999,20.584518,155.878799
34017,7.875000,1013.714539,19.879999,20.584518,155.850220
34578,9.250000,1013.706848,19.870001,20.584518,155.914032
35982,10.687500,1013.704346,19.879999,20.116373,155.934952
36496,10.875000,1013.694092,19.879999,20.584518,156.019684
37009,11.375000,1013.677429,19.879999,20.116373,156.158005
37528,11.375000,1013.705994,19.889999,20.584518,155.921173
38041,11.375000,1013.721436,19.889999,20.584518,155.793060
38554,11.375000,1013.705811,19.900000,20.584518,155.922699
39067,11.375000,1013.733337,19.900000,20.584518,155.694550
39581,11.375000,1013.697205,19.889999,20.116373,155.994156
40101,11.375000,1013.716858,19.900000,20.584518,155.831329
40617,11.375000,1013.728149,19.900000,20.584518,155.737427
41135,11.375000,1013.722168,19.889999,20.584518,155.786926
41648,11.375000,1013.692017,19.889999,20.584518,155.930862
42170,11.375000,1013.702332,19.910000,20.584518,155.951797
42684,11.375000,1013.717651,19.900000,20.584518,155.824707
43205,11.375000,1013.741089,19.900000,20.584518,155.630234
43718,11.375000,1013.726257,19.900000,20.584518,155.753250
44241,11.375000,1013.752258,19.910000,20.584518,155.537338
44754,11.375000,1013.729858,19.910000,20.584518,155.723129
45279,11.375000,1013.724548,19.920000,20.116373,155.767532
45792,12.375000,1013.689087,19.920000,20.116373,156.061539
46311,11.750000,1013.671082,19.910000,20.584518,156.210587
46824,12.187500,1013.686584,19.920000,20.584518,156.081955
47346,12.187500,1013.692505,19.920000,20.116373,156.032959
47859,12.187500,1013.720154,19.920000,20.584518,155.803772
48380,12.187500,1013.705444,19.920000,20.584518,156.039581
48893,12.187500,1013.695801,19.920000,20.584518,156.005905
49415,12.187500,1013.690613,19.920000,20.584518,156.048782
49929,12.187500,1013.677979,19.930000,20.584518,156.153412
50450,12.187500,1013.696716,19.920000,20.584518,155.998245
