timestamp,compass,pressure,temperatureAmbient,temperatureCPU,altitude
25088,304.812500,101558.195313,20.000000,20.116373,140.347183
25124,304.812500,101558.546875,20.000000,21.052662,140.347183
25187,304.812500,101558.375000,20.000000,20.584518,140.361450
25248,304.812500,101558.546875,20.000000,21.052662,140.347183
25310,304.812500,101558.546875,20.000000,21.052662,140.347183
25372,304.812500,101555.460938,19.990000,20.584518,140.602524
25434,302.687500,101555.460938,19.990000,21.052662,140.474091
25495,297.062500,101558.718750,20.000000,20.584518,140.332916
25557,296.187500,101556.890625,20.010000,20.584518,140.484283
25619,296.187500,101556.890625,20.010000,20.584518,140.484283
25681,295.625000,101556.656250,20.000000,20.584518,140.503143
25742,295.812500,101559.140625,20.010000,20.584518,140.297745
25805,293.437500,101559.140625,20.010000,20.584518,140.297745
25867,295.937500,101558.726563,20.000000,20.584518,140.331894
25929,292.312500,101557.421875,20.000000,20.584518,140.439941
25991,288.625000,101557.421875,20.000000,20.584518,140.439941
26053,280.875000,101557.609375,20.000000,20.584518,140.424652
26115,276.312500,101558.898438,20.000000,20.584518,140.318130
26177,273.687500,101558.898438,20.000000,20.584518,140.318130
26239,270.625000,101558.289063,20.000000,20.584518,140.368591
26301,272.750000,101558.289063,20.000000,20.584518,140.368591
26363,277.062500,101559.421875,20.000000,20.584518,140.274307
26425,276.812500,101560.187500,20.000000,20.584518,140.211105
26487,278.062500,101560.187500,20.000000,20.584518,140.211105
26548,281.125000,101559.953125,19.990000,20.584518,140.230469
26611,280.375000,101559.593750,20.000000,20.584518,140.260040
26673,278.437500,101559.593750,20.000000,20.584518,140.260040
26736,276.625000,101559.078125,19.990000,20.584518,140.303360
26797,271.312500,101558.382813,20.000000,20.584518,140.360947
26859,269.312500,101558.382813,20.000000,20.584518,140.360947
26921,268.000000,101556.992188,19.990000,20.584518,140.475616
26983,266.687500,101559.257813,19.990000,20.584518,140.288071
27043,273.187500,101559.257813,19.990000,21.052662,140.288071
27106,275.250000,101553.531250,19.990000,20.584518,140.762054
27168,275.875000,101553.531250,19.990000,20.584518,140.762054
27231,278.062500,101558.109375,19.990000,20.584518,140.382858
27292,276.625000,101559.609375,19.990000,20.116373,140.259018
27355,280.125000,101559.609375,19.990000,20.584518,140.259018
27417,276.000000,101556.296875,19.990000,20.584518,140.533218
27479,275.250000,101557.875000,19.990000,20.584518,140.402740
27541,276.500000,101557.875000,19.990000,20.584518,140.402740
27603,278.250000,101558.132813,19.980000,20.116373,140.381332
27665,278.250000,101559.312500,19.990000,20.116373,140.283478
27727,279.750000,101559.312500,19.990000,20.584518,140.283478
27789,278.812500,101557.351563,19.980000,20.584518,140.446060
27851,277.750000,101557.351563,19.980000,20.584518,140.339035
27913,279.250000,101558.640625,19.990000,20.116373,140.339035
27975,282.937500,101559.328125,19.990000,20.584518,140.282455
28036,281.250000,101559.328125,19.990000,20.584518,140.282455
28098,284.937500,101557.875000,19.980000,20.584518,140.402740
28161,285.562500,101556.476563,19.990000,20.584518,140.518433
28224,285.187500,101556.476563,19.990000,21.052662,140.518433
