Timestamp,X-Position,Y-Position,Z-Position,Heading Velocity,Descent Velocity,Pressure,Temperature
2077,-0.000001,-0.000008,-0.000001,-0.000350,51.788616,1012.262268,24.479999
2128,-0.000001,-0.000013,-0.000002,0.000000,-10.304928,1012.250061,24.479999
2165,-0.000001,-0.000017,-0.000002,0.000000,0.000000,1012.250061,24.479999
2205,-0.000001,-0.000017,-0.000007,0.000117,0.000000,1012.250061,24.479999
2244,0.000002,-0.000017,-0.000011,0.000700,12.682915,1012.265075,24.489999
2283,0.000002,-0.000030,-0.000022,0.000117,0.000000,1012.265075,24.489999
2326,0.000002,-0.000030,-0.000030,0.000000,-18.231678,1012.243103,24.479999
2362,0.000000,-0.000031,-0.000038,-0.000583,0.000000,1012.243103,24.479999
2398,0.000000,-0.000032,-0.000038,0.000000,0.000000,1012.243103,24.479999
2465,0.000002,-0.000038,-0.000039,0.000466,1.321125,1012.244995,24.489999
2503,0.000003,-0.000037,-0.000041,0.000233,0.000000,1012.244995,24.489999
2545,0.000001,-0.000038,-0.000045,-0.000466,17.967510,1012.266540,24.489999
2587,0.000004,-0.000038,-0.000049,0.000700,0.000000,1012.266540,24.489999
2627,0.000006,-0.000042,-0.000049,0.000466,-33.292675,1012.226562,24.489999
2663,0.000008,-0.000043,-0.000050,0.000466,0.000000,1012.226562,24.489999
2700,0.000008,-0.000044,-0.000052,0.000000,0.000000,1012.226562,24.489999
2740,0.000008,-0.000046,-0.000056,0.000000,9.512234,1012.237731,24.500000
2777,0.000009,-0.000048,-0.000058,0.000233,0.000000,1012.237731,24.500000
2812,0.000011,-0.000050,-0.000058,0.000466,-2.906513,1012.234313,24.500000
2868,0.000012,-0.000052,-0.000060,0.000117,0.000000,1012.234313,24.500000
2912,0.000012,-0.000053,-0.000061,0.000117,8.455277,1012.244689,24.500000
2968,0.000015,-0.000055,-0.000063,0.000583,0.000000,1012.244689,24.500000
3024,0.000014,-0.000056,-0.000063,-0.000117,0.000000,1012.244445,24.500000
3081,0.000015,-0.000057,-0.000066,0.000350,0.000000,1012.244445,24.500000
3123,0.000017,-0.000059,-0.000067,0.000233,0.000000,1012.244445,24.500000
3164,0.000017,-0.000060,-0.000068,0.000233,0.000000,1012.244445,24.500000
3206,0.000019,-0.000062,-0.000071,0.000233,-15.325261,1012.226074,24.500000
3249,0.000019,-0.000063,-0.000071,0.000117,0.000000,1012.226074,24.500000
3288,0.000021,-0.000065,-0.000075,0.000350,0.000000,1012.226074,24.500000
3329,0.000022,-0.000066,-0.000075,0.000233,-13.739777,1012.209716,24.500000
3366,0.000020,-0.000072,-0.000081,-0.000466,0.000000,1012.209716,24.500000
3407,0.000026,-0.000068,-0.000075,0.001515,15.060997,1012.227783,24.500000
3452,0.000027,-0.000073,-0.000077,0.000233,0.000000,1012.227783,24.500000
3511,0.000025,-0.000068,-0.000080,-0.000466,2.377987,1012.230529,24.500000
3570,0.000027,-0.000074,-0.000080,0.000466,0.000000,1012.230529,24.500000
3613,0.000035,-0.000074,-0.000059,0.001982,-8.191014,1012.220886,24.500000
3671,0.000024,-0.000075,-0.000055,-0.002682,0.000000,1012.220886,24.500000
3726,0.000024,-0.000078,-0.000059,0.000000,16.646289,1012.240783,24.510000
3766,0.000028,-0.000081,-0.000062,0.000933,0.000000,1012.240783,24.510000
3825,0.000028,-0.000082,-0.000065,0.000000,-4.227638,1012.235473,24.510000
3866,0.000026,-0.000083,-0.000067,-0.000466,0.000000,1012.235473,24.510000
3904,0.000026,-0.000085,-0.000073,0.000000,-16.117858,1012.216430,24.510000
