Timestamp,X-Position,Y-Position,Z-Position,Heading Velocity,Descent Velocity,Pressure
2037,0.000001,-0.000007,-0.000004,-0.000799,19.552803,1016.524536
2091,0.000007,-0.000007,-0.000024,-0.004527,17.438888,1016.546142
2145,-0.000009,-0.000013,-0.000041,0.012510,-35.406494,1016.503295
2199,-0.000004,-0.000016,-0.000044,-0.004207,0.000000,1016.503295
2251,0.000006,-0.000012,-0.000044,-0.008139,7.398415,1016.512023
2305,0.000004,-0.000004,-0.000029,0.001745,0.000000,1016.512023
2358,0.000013,-0.000000,-0.000056,-0.008446,-7.398415,1016.503295
2400,0.000030,0.000024,-0.000057,-0.015553,0.000000,1016.503295
2442,0.000074,0.000024,-0.000029,-0.045107,7.926941,1016.512756
2479,0.000045,-0.000004,-0.000066,0.031275,0.000000,1016.512756
2518,0.000060,0.000032,-0.000086,-0.019177,1.585388,1016.514526
2554,0.000103,0.000096,-0.000100,-0.058860,0.000000,1016.514526
2597,0.000126,0.000073,-0.000102,-0.033574,0.000000,1016.514526
2635,0.000127,0.000070,-0.000097,-0.000786,-3.699303,1016.510009
2680,0.000122,0.000086,-0.000096,0.009359,0.000000,1016.510009
2744,0.000147,0.000104,-0.000081,-0.053211,-6.341362,1016.502258
2796,0.000166,0.000101,-0.000081,-0.050671,0.000000,1016.502258
2846,0.000159,0.000059,-0.000096,0.032218,2.642250,1016.505493
2900,-0.000001,0.000048,-0.000119,9.778411,0.000000,1016.505493
2951,0.000046,0.000055,-0.000110,0.448750,4.756165,1016.511718
3004,0.000078,0.000067,-0.000125,0.220727,0.000000,1016.511718
3057,0.000027,0.000051,-0.000130,-0.267228,1.585197,1016.513305
3112,0.000025,0.000057,-0.000153,-0.004173,0.000000,1016.513305
3152,0.000064,0.000022,-0.000149,0.033841,23.780632,1016.541870
3188,0.000048,0.000047,-0.000156,-0.009451,0.000000,1016.541870
3227,0.000103,0.000032,-0.000170,0.025666,-4.227829,1016.537170
3264,0.000208,0.000097,-0.000203,0.040049,0.000000,1016.537170
3305,0.000190,0.000136,-0.000245,-0.005887,-26.951026,1016.504516
3342,0.000232,0.000168,-0.000249,0.011841,0.000000,1016.504516
3388,0.000304,0.000148,-0.000265,0.017928,0.000000,1016.504516
3427,0.000209,0.000128,-0.000261,-0.021519,-3.170776,1016.500915
3493,0.000323,0.000096,-0.000261,0.024195,0.000000,1016.500915
3539,0.000360,0.000126,-0.000259,0.007572,35.406494,1016.543457
3594,0.000255,-0.000203,-0.000292,-0.021102,0.000000,1016.543457
