Timestamp,X-Position,Y-Position,Z-Position,Heading Velocity,Descent Velocity,Pressure
1758,0.000013,-0.000012,-0.000002,0.002706,-18.495941,1017.514526
1802,0.000017,-0.000013,-0.000002,0.000802,11.626053,1017.528259
1861,0.000020,-0.000013,-0.000003,0.000601,10.569001,1017.540771
1917,0.000022,-0.000012,-0.000004,0.000401,0.000000,1017.540771
1980,0.000025,-0.000012,-0.000004,0.000401,-1.057053,1017.539672
2037,0.000027,-0.000012,-0.000006,0.000601,-16.381835,1017.519836
2097,0.000030,-0.000012,-0.000009,0.000501,0.000000,1017.519836
2138,0.000032,-0.000012,-0.000011,0.000501,23.251724,1017.547729
2173,0.000035,-0.000012,-0.000013,0.000501,0.000000,1017.547729
2207,0.000038,-0.000012,-0.000015,0.000501,0.000000,1017.547729
2244,0.000040,-0.000012,-0.000016,0.000501,0.000000,1017.547729
2281,0.000043,-0.000010,-0.000019,0.000601,0.000000,1017.547729
2322,0.000045,-0.000010,-0.000022,0.000301,1.057053,1017.549560
2358,0.000048,-0.000010,-0.000023,0.000601,0.000000,1017.549560
2396,0.000050,-0.000009,-0.000024,0.000501,0.000000,1017.549560
2448,0.000054,-0.000009,-0.000025,0.000702,-9.511948,1017.537963
2491,0.000057,-0.000007,-0.000028,0.000601,0.000000,1017.537963
2532,0.000060,-0.000006,-0.000030,0.000601,3.699112,1017.542480
2575,0.000063,-0.000005,-0.000031,0.000702,0.000000,1017.542480
2618,0.000065,-0.000005,-0.000034,0.000401,-28.536605,1017.507629
2662,0.000067,-0.000009,-0.000034,0.000301,0.000000,1017.507629
2714,0.000098,0.000019,-0.000039,0.006308,18.495941,1017.530029
2758,0.000098,0.000079,-0.000051,0.000100,0.000000,1017.530029
2797,0.000145,0.000093,-0.000119,0.009338,0.000000,1017.530029
2833,0.000220,0.000097,-0.000164,0.014991,-11.626053,1017.516113
2869,0.000178,0.000053,-0.000160,-0.008255,0.000000,1017.516113
2905,0.000149,0.000098,-0.000126,-0.005956,9.511948,1017.527587
2945,0.000152,0.000115,-0.000069,0.000507,0.000000,1017.527587
2980,0.000137,0.000126,-0.000042,-0.003042,0.000000,1017.527587
3016,0.000113,0.000225,-0.000016,-0.004760,-14.796448,1017.510131
3053,0.000128,0.000252,0.000002,0.003027,0.000000,1017.510131
3086,0.000181,0.000272,-0.000010,0.010650,0.000000,1017.510131
3121,0.000066,0.000135,-0.000004,-0.023032,6.869888,1017.517822
3158,0.000100,0.000119,0.000002,0.006815,0.000000,1017.517822
3193,0.000158,0.000184,0.000001,0.011647,0.000000,1017.527343
3235,0.000158,0.000191,-0.000016,-0.000100,7.926559,1017.527343
3269,0.000188,0.000214,-0.000112,0.006117,0.000000,1017.527343
3304,0.000138,0.000237,-0.000115,-0.010023,1.057053,1017.529052
3340,0.000131,0.000221,-0.000126,-0.001504,0.000000,1017.529052
3373,0.000116,0.000224,-0.000128,-0.002911,0.000000,1017.529052
3406,0.000074,0.000292,-0.000126,-0.008593,1.057053,1017.530029
3442,0.000057,0.000375,-0.000132,-0.003371,0.000000,1017.530029
3477,0.000069,0.000418,-0.000152,0.002381,0.000000,1017.530029
3512,0.000040,0.000428,-0.000171,-0.006069,-1.585388,1017.528259
3546,-0.000017,0.000446,-0.000179,-0.012274,0.000000,1017.528259
3581,-0.000034,0.000500,-0.000180,-0.003689,0.000000,1017.525573
3624,-0.000025,0.000453,-0.000186,0.002036,-2.113724,1017.525573
3661,-0.000021,0.000484,-0.000197,0.001112,0.000000,1017.525573
3696,-0.000069,0.000457,-0.000190,-0.012660,-21.138381,1017.500183
3736,-0.000037,0.000555,-0.000164,0.008983,0.000000,1017.500183
3771,-0.000060,0.000623,-0.000175,-0.007074,0.000000,1017.500183
3815,-0.000000,0.000592,-0.000155,0.019977,17.438888,1017.521118
3852,0.000142,0.000590,-0.000222,0.053314,0.000000,1017.521118
3890,0.000223,0.000502,-0.000253,0.042150,8.455277,1017.531555
3929,0.000076,0.000619,-0.000243,-0.098460,0.000000,1017.531555
3963,0.000077,0.000671,-0.000283,0.000398,0.000000,1017.531555
3998,-0.000043,0.000823,-0.000289,-0.117854,-7.926559,1017.522033
4033,-0.000115,0.000819,-0.000326,0.024932,0.000000,1017.522033
4068,-0.000177,0.000922,-0.000348,0.021041,0.000000,1017.522033
4104,0.000043,0.000766,-0.000355,-0.077629,5.284500,1017.528076
4139,-0.000011,0.001059,-0.000366,0.019282,0.000000,1017.528076
4173,-0.000010,0.001157,-0.000372,-0.000331,-31.179046,1017.490478
4212,-0.000049,0.001129,-0.000373,0.011559,0.000000,1017.490478
4246,-0.000189,0.001025,-0.000425,0.038601,0.000000,1017.490478
4285,-0.000259,0.000987,-0.000466,0.018895,8.455277,1017.500915
4320,-0.000209,0.000967,-0.000471,-0.013365,0.000000,1017.500915
4358,-0.000360,0.001027,-0.000481,0.039068,0.000000,1017.500915
4393,-0.000252,0.000907,-0.000458,-0.027039,0.000000,1017.500915
4427,-0.000229,0.000969,-0.000423,-0.005569,0.000000,1017.500915
4462,-0.000249,0.000976,-0.000435,0.004814,19.552993,1017.524291
4502,-0.000278,0.000984,-0.000455,0.007418,0.000000,1017.524291
4536,-0.000280,0.001031,-0.000453,0.000502,0.000000,1017.524291
4571,-0.000311,0.001040,-0.000490,0.007901,-16.382217,1017.504394
4605,-0.000264,0.000998,-0.000522,-0.011675,0.000000,1017.504394
4641,-0.000338,0.001027,-0.000524,0.017837,0.000000,1017.504394
4676,-0.000407,0.001046,-0.000491,0.016930,-13.211441,1017.488647
4710,-0.000455,0.001026,-0.000469,0.011914,0.000000,1017.488647
4745,-0.000415,0.000987,-0.000437,-0.010267,0.000000,1017.488647
4785,-0.000389,0.000927,-0.000398,-0.006858,21.138381,1017.513916
4819,-0.000404,0.000865,-0.000402,0.003942,0.000000,1017.513916
4854,-0.000397,0.000825,-0.000386,-0.001702,-11.626053,1017.500610
4891,-0.000405,0.000780,-0.000392,0.001971,0.000000,1017.500610
4925,-0.000420,0.000720,-0.000394,0.003983,0.000000,1017.500610
4960,-0.000503,0.000690,-0.000426,0.022122,19.024276,1017.523254
4995,-0.000561,0.000672,-0.000432,0.015414,0.000000,1017.523254
5035,-0.000562,0.000664,-0.000417,0.000268,0.000000,1017.523254
5068,-0.000582,0.000713,-0.000425,0.005539,-25.365829,1017.492675
5104,-0.000622,0.000802,-0.000462,0.010683,0.000000,1017.492675
5139,-0.000683,0.000876,-0.000496,0.016631,0.000000,1017.492675
5174,-0.000764,0.000934,-0.000519,0.022426,-2.113724,1017.490173
5209,-0.000849,0.000979,-0.000536,0.024343,0.000000,1017.490173
5244,-0.000925,0.001020,-0.000562,0.022038,-1.057053,1017.488464
5278,-0.001003,0.001069,-0.000588,0.023306,0.000000,1017.488464
5317,-0.001063,0.001101,-0.000618,0.019079,0.000000,1017.488464
5354,-0.001100,0.001137,-0.000647,0.011598,5.813217,1017.495483
5388,-0.001138,0.001190,-0.000690,0.012888,0.000000,1017.495483
5454,-0.001192,0.001278,-0.000729,0.019652,-10.040665,1017.483886
5490,-0.001191,0.001336,-0.000719,-0.000575,0.000000,1017.483886
5531,-0.001234,0.001296,-0.000681,0.016945,0.000000,1017.483886
5569,-0.001258,0.001316,-0.000717,0.009708,10.569001,1017.496154
5613,-0.001263,0.001341,-0.000730,0.001856,0.000000,1017.496154
5653,-0.001264,0.001370,-0.000772,0.000669,11.097718,1017.509460
5696,-0.001248,0.001386,-0.000806,-0.008015,0.000000,1017.509460
5734,-0.001239,0.001396,-0.000839,-0.004792,-34.349822,1017.468261
5769,-0.001238,0.001406,-0.000864,-0.000578,0.000000,1017.468261
5806,-0.001195,0.001431,-0.000903,-0.026191,0.000000,1017.468261
5841,-0.001165,0.001480,-0.000940,-0.020819,7.398605,1017.477050
5883,-0.001143,0.001493,-0.000978,-0.017773,0.000000,1017.477050
5920,-0.001109,0.001547,-0.001008,-0.027336,0.000000,1017.496276
5976,-0.001134,0.001603,-0.001036,0.020630,8.455277,1017.487487
6031,-0.001119,0.001657,-0.001059,-0.012278,-22.195053,1017.460632
6072,-0.001017,0.001708,-0.001049,-0.078115,0.000000,1017.460632
6123,-0.000975,0.001715,-0.001090,-0.028209,0.000000,1017.468261
6166,-0.000991,0.001678,-0.001134,0.009766,6.341171,1017.468261
6223,-0.001009,0.001780,-0.001138,0.008243,24.837493,1017.497985
6266,-0.001003,0.001787,-0.001163,-0.002402,0.000000,1017.497985
6305,-0.000994,0.001793,-0.001189,-0.003655,0.000000,1017.497985
